	MF1	MF3	MF6
A2LD1	-0.00947907985482	-0.00145025036739	0.00464204848499
A4GALT	0.0204787283041	0.0244161686938	0.0370855457382
AAAS	0.0027934721452	0.00783307596345	-0.000941736232307
AACSL	0.00752051275639	0.00885093394712	-0.00216968351255
AADACL1	0.00412689002561	0.0133275434219	0.00198604623797
AAGAB	0.00115017404094	0.00632648545166	-0.000667094935549
AAMP	-0.000634879951628	-0.00141014276855	0.000557648408361
AARS	0.0124348547809	0.00132202695751	0.00354636461602
AARS2	-0.00730435226532	-0.0058249804444	-0.0127568197098
AARSD1	0.00300559081283	0.00176707919164	0.00421551750171
AASDH	-0.00532395763812	-5.28501398151e-05	-0.00620292211839
AASDHPPT	-0.00425587024007	-0.000649967753302	-0.00310139364466
AATF	0.00232214958312	-0.00125856623524	0.00289539513615
AATK	0.00895024819519	0.00480429358366	0.00709460818081
ABCA1	0.0138294689882	0.00196799003094	0.0136241620073
ABCA2	0.00514101774961	0.000757573249596	0.00356022061739
ABCA7	0.0138066889211	0.0114858044854	0.00341433168549
ABCB1	-0.00224868736764	0.00322416143878	-0.00107289027492
ABCB10	0.000205514375104	0.00824778908491	0.000465479402009
ABCB6	0.0275686086114	0.0197257795493	0.00866138696497
ABCB7	0.0030421557871	0.0023112324387	-0.0024234577198
ABCB9	0.0052323208799	0.00568368686994	0.00514475273257
ABCC10	0.0035297679673	0.00422196786709	0.00165544299448
ABCC13	-0.00345457902387	-0.000624047570276	-0.00710737631239
ABCC3	0.012717920292	-0.00167320850695	0.0198756971254
ABCC4	0.020471238963	0.0103443455967	0.00619249546953
ABCC5	0.00765407123977	0.00457954145713	-0.00500520080936
ABCC6	-0.00519972854471	-0.00467764581521	0.00126962964078
ABCD1	-0.00855902143146	0.00137389711926	0.0137172940001
ABCD3	-0.00872937289463	-0.00403703879099	-0.00765265425375
ABCE1	-0.00455484611023	0.000728528083621	-9.22035354975e-05
ABCF1	0.00755876171025	0.00321505797927	0.00302637567521
ABCF2	-0.00922187468459	-0.00342104059998	-0.00248867375235
ABCF3	0.00848784351455	0.0080817923954	0.00597109181682
ABCG1	0.0093856749594	0.00156941538884	0.00758759684022
ABHD10	-0.0029776459582	2.54471973002e-05	-0.00185099956113
ABHD12	0.00290114370551	0.00960108733923	0.00635230835212
ABHD14A	-0.00143864446835	-0.00318405728976	0.00212138103444
ABHD14B	-0.00175330766337	0.00854073365478	0.00447862125953
ABHD15	-0.00909373090414	-0.000349021041991	-0.0086178105498
ABHD2	0.0113987369239	0.0078224838188	0.0053903193938
ABHD3	-0.00590452120046	0.0008456765444	-0.00485104637886
ABHD4	0.0182401806958	0.00672730655324	0.0107188154314
ABHD5	0.0126599869579	0.00903621424054	0.00480326926054
ABHD6	-0.0138128224926	-0.00362210274984	0.00210011394988
ABHD7	-0.0066073884443	0.000922496442863	0.00283735691653
ABHD8	-0.00637614551478	0.00118496818681	0.00259040366
ABI1	-0.00105201737888	-0.00127838796085	-0.0034141119313
ABI2	0.00169066183518	-0.00457368550918	0.00978906397755
ABI3	0.00557565462504	0.00113721687858	0.0140012986636
ABL1	0.00650913886973	0.00195268857486	0.00182641281397
ABLIM1	-0.00229142074838	0.00873896927907	-0.0120125784209
ABR	-0.0022533306418	-0.00254144359085	-0.00265754559069
ABT1	-0.000380646828789	0.00619676319769	0.0103126939885
ABTB1	0.00526073258367	0.00779670686966	0.00271832345163
ACAA1	-0.00272673466066	0.00204223988951	0.00212947583687
ACAA2	-0.00766196460684	0.00211096512672	-0.00281802910524
ACACA	0.00671115955938	0.00225488953845	0.00307388895906
ACACB	-0.00438479758858	0.00482884459045	-0.00906400779992
ACAD10	-0.000109194216639	0.00701927834054	-0.00418566731659
ACAD11	0.00142864529964	0.00250583392895	-0.00818887440931
ACAD8	-0.00339372518342	0.000734844999734	-0.00486937586371
ACAD9	-0.00266290232424	-0.00139268440405	0.00480535317825
ACADM	-0.00332725217061	-0.00491605378646	0.00159228191203
ACADS	0.00892223146796	0.0100100871734	0.0123454569879
ACADVL	0.00134253089123	0.00358378493301	-0.00385043895034
ACAP1	-0.00330436740939	0.00771602171831	-0.0037041368438
ACAP2	-0.00901001849189	-0.00569643242853	-0.0133220887262
ACAT1	-0.000473737764753	0.0021869187579	0.00239435883156
ACAT2	-0.000157180403504	0.00157829201155	0.00475133937874
ACBD3	-0.00084221689342	-0.000332478406317	0.00106798512226
ACBD4	-0.00538337129128	-0.00965093284025	-0.0245405227671
ACBD6	0.00357095624176	0.00470673103057	0.00463204140087
ACCS	0.00805289746433	0.00254893887318	-0.0010730502276
ACD	-0.000456843921479	0.00113696848277	-0.0021974162927
ACER2	-0.000811386275234	0.00860249528157	0.00492043248446
ACER3	-0.00597324998649	-0.0272646939509	-0.0112163626212
ACHE	0.0291644023194	0.0271892464773	0.0297499532812
ACIN1	0.00460244888151	0.00429993108549	-0.00167594208405
ACLY	-7.95222092809e-05	9.67408586078e-05	-0.001168305899
ACN9	-0.00653755275088	0.00139228923778	0.000777071032189
ACO1	-0.00300705441953	-0.00608337814756	0.00157545536837
ACO2	0.000247232400455	-0.0017565703888	0.002869626899
ACOT11	0.00138134730649	-0.00375233628219	0.00113291768143
ACOT4	-0.00345501723765	0.00389828856518	0.00612877837987
ACOT7	0.00802263220509	0.0096599645962	0.0115908709628
ACOT8	-0.00264250022733	-0.0179579837101	0.0106380823324
ACOT9	-0.00632224308409	-0.00472125507467	0.005686920934
ACOX2	-0.0223916917604	-0.0015586767773	-0.00539039129493
ACOX3	-0.00486005202292	-0.00835808215939	0.00189477529816
ACP1	0.000156601848676	0.00500562550471	-0.00296154997589
ACP2	0.00749976026134	-0.00349260690271	0.015022944462
ACP5	0.01639685858	0.0306687034718	0.0218630092332
ACP6	0.00137974061841	0.00512819499216	-0.0078818025161
ACPL2	-0.0114514204814	-0.00215448848953	-0.0111349100971
ACPP	-0.0205344611719	-0.0104892605684	-0.0030951081301
ACPT	0.00566433452746	0.00273863462023	-0.00603263517717
ACRBP	0.0155574523188	-0.036963264668	0.0297586759769
ACRC	0.0182333675326	0.0137262616048	0.000245112675068
ACSBG1	0.0117699728061	0.000411593478223	0.00933474032593
ACSF2	0.00111227105518	-0.000413633533911	0.00521042835823
ACSF3	0.00595910020113	0.0149639659931	0.00094431814651
ACSL1	0.00750821237473	-0.00128907089906	0.00889695198218
ACSL3	-0.00120689025852	-0.00440292725688	-0.00565931637197
