TargetID	MF1	MF1-2	MF3	MF3-2	MF6	MF6-2	A1	B1	C1	D1	E1
CD47	100.6	90.0	151.9	182.7	86.4	112.6	179.2	163.4	165.6	188.1	145.0
CD48	326.6	295.5	1126.1	1306.8	1151.5	952.5	1337.5	907.6	1073.3	1029.6	807.2
CD5	40.2	40.6	123.2	82.8	40.8	39.3	20.8	44.1	36.9	48.8	53.5
CD52	826.5	878.7	1830.8	1597.0	3225.7	2197.8	1969.4	2178.4	2488.2	1819.1	1486.9
CD53	81.1	104.5	213.6	262.4	329.5	377.6	487.3	219.1	335.7	274.1	196.1
CD55	98.7	98.2	87.4	93.8	74.0	128.0	48.4	56.3	58.6	47.3	84.3
CD58	100.9	90.0	141.9	144.2	176.1	214.5	313.0	193.1	204.1	176.9	216.3
CD59	6.2	12.5	10.7	10.8	6.4	6.6	6.4	10.2	4.6	6.6	3.9
CD6	345.8	354.5	418.7	403.6	169.1	136.6	139.2	143.7	166.8	356.7	162.7
CD63	236.5	309.7	202.8	212.9	598.4	468.7	94.0	261.6	99.7	160.7	274.1
CD68	492.1	527.1	441.3	458.0	1274.6	1160.9	658.0	876.8	527.3	561.6	682.4
CD69	452.5	445.4	628.6	667.4	876.9	1411.4	332.1	179.1	241.6	275.9	242.2
CD7	316.3	285.7	650.5	778.9	307.8	201.4	296.0	223.9	400.0	479.5	169.8
CD70	14.2	17.9	7.8	11.5	31.7	19.3	2.8	3.8	1.0	6.7	7.8
CD72	21.1	18.0	47.7	35.9	25.4	21.8	31.2	27.4	53.1	39.8	29.1
CD74	788.6	887.0	1209.0	1172.5	3084.7	2814.3	2457.6	2950.3	3260.0	1306.3	2775.5
CD79A	13.1	22.4	289.1	298.5	181.8	155.2	196.7	182.0	239.6	251.2	162.1
CD79B	35.0	37.4	331.0	369.6	228.4	156.6	203.5	210.8	456.3	354.8	206.5
CD81	1211.6	1098.8	1144.1	1320.2	1389.8	1365.8	1167.0	1012.2	1276.6	1181.5	1021.1
CD82	66.2	58.6	26.5	28.2	60.8	44.6	32.9	47.6	40.6	52.1	70.8
CD83	266.7	270.1	150.1	141.1	935.2	1332.8	62.2	69.7	47.5	73.5	91.0
CD84	12.1	8.3	4.0	8.4	18.3	12.3	28.9	13.5	50.9	21.5	18.1
CD86	69.6	64.4	79.3	83.6	160.7	172.2	126.5	108.0	95.0	116.0	107.5
CD8A	581.2	572.0	849.4	776.0	305.9	382.4	263.0	254.4	201.1	309.0	232.7
CD8B	3.3	4.0	9.4	10.3	2.1	7.0	1.1	8.2	0.5	7.7	9.8
CD9	40.5	46.2	9.7	12.2	60.9	104.8	13.0	10.7	23.3	5.1	11.3
CD93	66.8	55.2	177.1	199.3	290.4	334.9	1025.8	435.1	743.5	478.2	348.0
CD96	86.4	77.5	152.5	145.1	92.0	77.1	135.9	97.4	122.7	211.2	132.7
CD97	370.3	379.2	296.5	260.6	391.2	427.0	190.7	314.1	266.6	386.2	194.8
CD99	217.1	237.2	232.4	195.3	357.5	294.3	92.6	227.7	98.5	183.3	289.1
CD99L2	41.4	53.4	68.7	70.7	125.1	72.3	75.6	81.6	109.9	57.8	54.7
CDA	19.6	18.5	40.8	41.0	131.7	84.2	224.6	174.3	132.2	115.6	127.5
CDAN1	1077.6	1071.0	478.9	462.4	658.3	328.4	728.4	752.7	695.9	604.2	434.0
CDC123	85.5	90.1	79.3	79.6	136.4	149.5	61.0	134.8	91.8	135.0	171.2
CDC14A	5.3	3.9	15.0	11.0	5.0	6.7	8.2	7.7	3.0	10.7	8.0
CDC14B	2.1	6.9	1.6	3.8	6.6	9.7	4.0	4.3	3.7	6.7	3.1
CDC14C	12.3	0.0	11.0	4.3	4.5	2.4	1.5	3.1	5.7	7.0	1.9
CDC16	288.1	277.6	309.9	337.2	230.5	214.8	342.8	284.0	304.2	370.3	247.1
CDC2	25.2	26.6	84.7	92.0	37.6	76.1	75.3	57.8	43.3	40.1	43.6
CDC20	187.2	168.3	456.6	583.8	334.5	283.4	532.3	285.1	441.0	296.5	278.0
CDC23	83.2	99.6	122.5	142.0	116.7	98.2	194.1	75.8	172.0	110.2	96.7
CDC25A	15.9	13.0	34.3	22.7	44.5	35.0	22.6	29.9	24.9	7.9	21.7
CDC25B	139.5	162.9	405.5	397.1	194.4	175.8	142.7	196.9	191.9	197.0	189.7
CDC25C	8.2	7.1	11.4	11.0	13.2	12.3	14.7	3.4	18.7	9.4	8.5
CDC26	258.1	242.0	256.2	290.4	342.8	302.0	323.4	272.6	374.7	336.8	332.7
CDC2L1	60.4	72.6	29.5	12.0	13.4	21.4	4.8	23.0	7.8	13.4	19.2
CDC2L2	65.2	31.0	21.5	13.1	26.8	11.5	29.9	25.2	55.4	45.3	18.1
CDC2L5	29.8	27.0	32.8	44.6	28.2	25.7	57.3	41.1	58.6	45.6	29.0
CDC2L6	163.4	155.4	153.8	143.7	152.1	142.1	176.6	131.7	148.4	106.9	102.3
CDC34	438.3	554.7	174.9	161.8	58.1	70.9	10.2	77.8	20.5	56.6	66.6
CDC37	1823.3	1394.4	1586.6	1739.1	1303.8	1105.9	1123.6	1373.4	1437.2	1472.5	1320.2
CDC40	120.1	86.6	149.2	146.7	90.0	116.4	169.4	127.9	125.4	116.8	113.5
CDC42	67.6	81.7	80.6	71.7	68.1	115.6	20.8	97.4	30.8	77.6	82.9
CDC42BPA	7.6	5.5	0.8	5.7	6.9	3.1	6.8	0.0	7.5	2.5	3.6
CDC42BPB	14.0	17.3	9.9	15.7	41.8	32.2	13.2	20.9	35.5	7.0	11.7
CDC42EP3	2.0	6.9	0.2	0.9	5.2	10.8	4.9	22.3	0.0	18.3	29.0
CDC42EP4	158.1	166.3	84.2	59.1	109.1	75.1	107.9	77.4	111.3	99.2	80.2
CDC42SE1	18.8	16.0	23.1	24.8	24.3	20.5	72.2	51.8	99.8	90.1	51.0
CDC42SE2	137.6	135.6	286.1	304.7	155.7	216.8	211.2	171.6	159.5	164.6	201.2
CDC45L	99.9	85.8	124.9	178.7	186.5	151.8	196.7	123.5	205.6	105.7	137.6
CDC5L	48.2	31.7	42.5	47.2	34.2	50.6	60.9	39.9	44.4	40.1	46.4
CDC7	53.7	45.9	65.2	71.3	44.7	58.7	131.6	72.8	99.4	55.3	78.0
CDCA2	15.2	8.8	31.6	21.3	18.5	18.3	41.0	18.0	35.5	8.3	9.2
CDCA3	12.8	10.2	54.9	57.0	68.3	53.8	48.9	61.3	47.6	32.6	55.5
CDCA4	35.8	40.7	49.5	51.4	63.1	57.7	43.0	40.9	24.8	29.3	35.7
CDCA5	76.8	79.0	173.8	193.6	177.7	149.1	206.6	133.5	224.5	118.1	145.1
CDCA7	110.4	97.3	51.5	48.7	64.5	55.7	225.7	77.0	176.9	137.8	126.1
CDCA7L	29.4	21.7	36.3	40.1	28.5	35.0	32.2	55.5	30.9	46.1	62.0
CDCA8	35.9	40.0	46.4	50.4	59.4	38.9	69.6	55.7	90.7	29.3	43.3
CDH1	85.2	103.7	61.2	41.5	16.5	48.2	28.8	29.4	15.5	33.8	38.1
CDH20	2.2	3.9	10.9	11.1	5.9	0.0	0.8	3.7	16.5	4.2	4.4
CDH23	4.4	3.6	14.9	13.5	10.7	11.4	7.9	5.1	8.1	14.9	6.3
CDH26	4.7	9.5	1.5	0.0	4.5	5.9	5.7	5.2	1.5	2.1	4.0
CDIPT	60.7	85.6	73.5	63.9	36.0	44.7	29.5	41.7	25.2	35.5	41.0
CDK10	51.4	54.3	88.0	107.9	43.6	30.9	43.9	48.5	67.2	55.8	47.0
CDK2	63.9	62.0	50.4	49.7	52.7	81.1	65.1	95.6	48.6	78.1	102.1
CDK2AP1	818.9	779.7	567.4	596.8	1504.1	1403.6	1303.8	524.3	995.3	550.0	660.3
CDK2AP2	52.3	57.9	54.7	52.8	126.4	72.9	54.3	66.4	64.5	49.8	73.4
CDK3	5.2	2.1	0.0	7.3	4.1	2.6	4.6	21.3	2.3	3.2	1.9
CDK4	189.6	194.9	118.0	133.6	274.0	266.5	351.3	192.2	329.6	262.1	305.7
CDK5	38.4	18.0	14.6	24.0	27.6	25.7	11.8	35.6	10.4	27.3	26.3
CDK5R1	0.0	3.7	19.6	20.3	5.1	6.2	43.6	20.8	19.6	19.7	9.4
CDK5RAP1	58.4	47.4	51.5	44.9	53.2	46.3	39.6	48.4	41.1	62.7	45.8
CDK5RAP2	57.3	61.3	46.5	45.1	45.6	35.4	53.3	45.6	52.2	34.0	39.3
CDK5RAP3	325.4	335.5	305.6	332.9	185.3	163.5	222.4	294.6	304.3	339.8	283.6
CDK6	361.0	370.3	78.0	78.8	115.6	123.7	259.1	120.4	207.4	148.6	179.7
CDK7	160.5	137.0	116.6	140.5	106.0	120.7	118.4	117.7	121.0	107.5	99.4
CDK8	3.7	4.5	7.5	7.4	0.0	7.1	7.7	10.9	2.2	10.0	8.6
CDK9	143.2	121.8	50.4	57.0	70.5	68.0	41.5	25.9	44.9	67.0	47.5
CDKAL1	7.5	8.5	14.7	2.5	0.0	16.6	16.4	18.7	3.7	11.5	21.2
CDKL1	1.6	5.6	7.7	13.5	1.9	3.5	1.7	15.3	6.0	9.3	4.9
CDKL3	0.2	2.7	5.8	2.6	4.2	4.1	9.3	7.7	3.5	4.2	2.8
CDKN1A	503.2	507.0	100.1	107.6	733.3	663.1	172.2	61.9	110.7	81.3	75.0
CDKN1B	307.5	335.4	387.5	378.5	183.8	231.4	232.6	205.6	174.6	250.5	248.5
CDKN1C	25.6	34.7	9.4	6.2	21.0	20.0	15.1	13.3	17.3	28.9	4.0
CDKN2AIP	73.9	63.4	63.3	63.0	26.2	62.4	47.0	66.6	51.9	81.5	75.7
CDKN2AIPNL	1235.7	1067.8	565.0	620.3	1585.4	414.2	1341.1	1459.5	1884.2	1830.6	1339.5
CDKN2C	156.3	136.4	14.3	10.1	2.9	19.8	3.3	14.5	1.1	17.1	13.9
CDKN2D	239.9	236.6	258.8	286.3	272.1	190.1	116.8	194.9	140.0	161.9	130.8
CDKN3	77.7	88.7	220.6	249.6	169.2	219.4	113.4	142.8	100.4	82.9	134.5
CDR2	221.4	201.3	181.1	218.8	71.6	70.0	74.4	33.9	66.4	72.3	46.6
CDRT1	0.0	0.9	5.7	2.4	1.7	2.0	1.8	1.3	3.7	5.4	3.0
CDRT4	25.4	14.6	14.1	9.4	8.0	3.2	10.1	12.7	5.7	12.9	0.0
CDS2	32.2	27.5	26.8	28.6	38.2	48.1	61.2	41.5	39.5	44.1	30.3
CDT1	46.2	35.5	71.8	98.6	106.2	52.0	101.0	47.2	104.2	61.0	78.7
CDV3	159.8	159.8	139.0	103.1	110.8	206.5	71.7	175.5	84.3	201.5	198.8
CDYL	5.0	8.7	4.8	12.7	7.5	8.9	15.6	7.5	17.2	4.5	7.8
CDYL2	2.7	2.1	2.7	3.9	13.0	6.1	7.0	5.6	3.6	3.0	3.5
CEACAM1	58.8	55.7	74.6	87.1	27.2	22.6	33.5	184.3	39.1	101.2	0.9
CEACAM21	4.0	2.1	3.1	5.3	8.0	4.3	4.3	0.7	8.7	9.6	5.8
CEACAM4	0.0	0.5	1.7	6.0	5.4	2.4	11.0	19.7	9.4	7.5	7.7
CEACAM6	26.1	25.1	9.2	5.2	12.8	6.5	51.8	288.5	75.0	57.4	10.6
CEACAM8	73.7	78.8	27.4	42.7	20.4	17.1	38.7	233.7	50.8	149.9	10.8
CEBPA	146.4	182.4	97.3	80.2	163.1	148.8	162.3	349.2	149.3	261.9	325.4
CEBPB	1523.1	1422.4	907.6	981.2	1741.3	1523.1	1597.0	885.4	1076.5	1258.0	852.5
CEBPD	139.5	146.2	828.5	923.4	648.6	945.3	1804.0	1149.9	1226.3	1041.0	1221.4
CEBPE	5.8	10.9	0.0	0.0	5.7	7.8	7.5	25.1	6.8	11.7	8.7
CEBPG	183.5	180.3	60.5	83.0	67.1	63.6	96.2	70.8	79.5	82.7	53.0
CEBPZ	422.8	353.5	376.2	352.2	309.5	335.7	385.5	274.6	436.4	469.0	362.0
CECR1	167.6	174.5	190.7	166.9	551.7	463.7	678.1	343.7	493.4	320.3	232.1
CECR5	29.2	34.4	110.1	116.8	92.3	74.5	139.1	95.3	111.9	132.8	96.9
CECR6	4.8	2.2	2.2	10.8	18.9	12.7	17.7	12.8	11.6	15.9	5.7
CECR7	21.9	19.1	26.4	28.7	22.1	11.7	38.5	18.2	18.9	28.2	23.9
CEL	13.5	13.2	4.5	7.2	16.0	15.3	11.8	10.8	9.0	5.1	14.5
CELSR2	4.0	1.8	9.5	0.1	2.5	3.3	7.8	4.0	0.0	5.2	1.9
CELSR3	70.6	62.6	17.4	11.4	24.7	17.5	27.9	12.4	8.9	13.2	2.8
CENPA	6.9	7.3	20.1	24.2	34.2	27.3	39.5	19.7	32.3	14.8	17.9
CENPB	178.6	198.1	267.3	240.1	342.0	249.8	261.9	191.7	202.8	326.6	180.3
CENPBD1	4.4	6.9	10.1	8.2	16.0	5.4	31.0	9.9	24.2	16.3	14.6
CENPC1	14.0	0.0	2.7	1.0	7.2	6.1	5.0	3.0	1.6	4.1	2.7
CENPE	23.5	24.4	70.4	74.1	38.7	40.0	71.6	46.5	57.9	26.4	27.5
CENPF	55.2	55.8	72.1	84.5	74.8	55.3	77.2	66.7	79.0	25.8	50.8
CENPH	9.6	4.5	6.1	6.7	15.8	14.1	14.8	17.8	19.3	8.3	17.6
CENPJ	29.2	25.8	29.2	40.4	28.5	33.5	24.3	35.9	36.7	27.9	31.6
CENPK	30.1	35.3	110.2	111.8	45.1	94.1	77.9	76.4	82.5	68.7	77.5
CENPL	3.3	13.1	13.7	12.0	18.1	19.7	15.3	10.4	7.0	10.8	3.5
CENPM	25.4	19.6	46.9	54.6	66.7	49.8	50.1	46.7	58.0	37.7	61.2
CENPN	130.4	128.7	136.5	166.7	222.4	194.1	139.8	99.8	122.6	73.1	120.9
CENPO	4.8	2.5	7.4	3.3	9.5	10.0	7.6	6.0	8.6	4.5	4.4
CENPP	1.2	0.1	8.5	5.8	12.3	13.3	17.9	7.7	1.2	6.6	7.7
CENPQ	5.9	0.0	13.8	0.9	8.7	6.0	12.6	1.0	8.4	7.2	7.9
CENPT	177.4	201.4	175.5	169.1	87.2	89.4	130.2	145.4	169.2	90.5	152.9
CENPV	68.9	68.1	73.4	70.2	101.4	59.3	67.7	39.7	52.3	46.0	65.4
CENTA1	529.2	427.3	478.8	424.9	648.1	554.4	343.5	488.9	404.2	522.3	302.1
CENTB2	40.0	26.3	58.7	61.2	27.8	44.8	87.9	55.5	68.6	50.6	44.5
CENTD2	34.1	41.9	44.3	37.5	48.4	48.1	31.9	37.9	30.7	36.5	32.0
CENTG2	5.5	6.9	21.1	21.3	14.0	22.1	20.9	13.5	5.5	21.9	15.9
CENTG3	37.5	35.3	32.0	33.5	74.3	65.1	23.7	22.9	11.9	24.5	11.7
CEP110	43.5	32.5	80.7	70.1	22.1	51.4	70.6	58.7	68.3	80.6	66.5
CEP120	13.6	3.0	12.6	4.1	0.0	11.0	3.7	13.8	0.0	18.8	12.9
CEP135	28.8	29.3	51.4	67.5	71.7	53.5	76.8	68.6	81.6	68.0	57.5
CEP152	17.3	14.3	18.9	13.9	6.8	17.2	22.5	22.3	26.1	27.2	25.2
CEP164	48.8	52.7	41.8	44.3	19.8	20.3	29.9	20.0	19.5	26.9	13.7
CEP170	3.1	3.1	1.9	2.6	7.4	6.1	3.7	2.6	1.5	3.1	4.3
CEP192	27.8	26.5	45.6	59.6	22.8	30.1	60.5	31.5	56.7	28.3	28.7
CEP250	4.4	7.7	3.4	3.4	4.1	2.9	2.4	3.8	2.6	4.9	0.0
CEP27	247.0	239.6	87.9	99.8	195.9	76.0	160.5	266.5	202.6	156.7	152.3
CEP290	11.3	7.6	15.1	13.5	8.8	13.2	11.7	4.9	11.6	20.6	4.3
CEP350	32.6	24.2	25.8	22.3	35.0	35.5	177.8	82.0	140.1	117.0	107.1
CEP55	6.9	3.7	36.9	54.5	22.9	25.3	97.4	38.6	70.5	31.4	51.6
CEP57	32.8	29.3	29.8	41.9	12.0	20.8	36.2	19.3	21.3	22.1	31.0
CEP63	22.4	20.4	27.0	34.1	26.2	34.3	47.4	37.3	55.4	45.7	40.8
CEP70	18.1	11.9	2.2	2.6	6.1	2.7	7.8	0.0	0.0	6.7	7.2
CEP72	4.1	4.6	4.9	3.4	5.5	4.2	6.2	1.2	1.5	6.8	13.6
CEP76	1.2	9.2	5.5	3.5	5.4	2.1	1.9	4.7	3.5	3.8	4.4
CEP78	63.9	67.4	57.1	58.7	25.5	40.4	43.3	35.9	32.4	39.4	44.7
CEPT1	64.8	62.9	28.9	29.1	49.9	57.8	42.8	46.3	33.4	51.3	33.6
CERCAM	1.6	3.2	3.4	0.8	10.3	4.6	2.5	2.1	4.6	3.0	5.8
CERK	116.5	98.1	127.7	133.3	86.1	74.6	129.6	119.9	106.5	138.8	87.5
CES1	19.8	18.6	14.6	14.9	60.8	40.4	83.3	88.1	25.1	52.6	133.3
CES2	45.1	38.3	53.2	54.5	92.9	64.4	73.4	90.0	101.6	97.6	100.6
CES8	16.2	14.8	14.0	19.8	26.6	9.5	22.6	9.6	12.0	15.9	8.3
CETN2	168.3	147.6	225.3	304.0	266.0	259.4	258.9	226.0	272.1	239.2	221.1
CETN3	15.8	16.5	24.9	20.4	15.7	42.8	21.6	34.9	26.5	34.4	47.7
CETP	12.4	11.7	10.7	4.9	88.4	66.8	7.7	6.8	3.7	2.4	7.6
CFB	12.5	14.4	2.0	7.4	23.7	17.7	6.6	4.9	4.6	2.2	3.0
CFC1B	13.4	8.4	20.8	29.8	16.8	11.4	52.4	35.9	64.0	22.5	49.9
CFD	394.6	402.1	579.8	628.0	1122.2	1028.1	1394.4	714.3	1273.7	939.4	1058.0
CFDP1	157.9	159.9	139.8	127.8	109.2	141.8	58.9	135.4	79.3	124.5	185.1
CFH	44.3	43.2	2.5	1.8	20.7	22.8	8.3	1.5	2.4	5.7	7.0
CFHR2	10.7	14.1	20.1	17.8	10.3	0.5	7.2	6.8	4.7	5.6	7.6
CFI	14.6	14.5	1.2	2.1	5.0	6.9	6.4	2.4	11.5	4.4	0.6
CFL1	1092.7	967.4	1370.3	1209.4	2165.5	1593.5	1868.8	1504.1	1378.6	1540.2	1159.7
CFLAR	140.6	101.4	72.0	74.5	285.0	146.0	325.1	681.8	358.0	389.5	291.8
CFP	37.4	39.7	77.1	92.1	106.0	130.8	47.4	115.4	90.1	69.7	106.2
CGGBP1	273.4	254.2	221.6	240.7	170.1	175.9	305.9	174.1	209.2	201.5	163.3
CGI-96	13.7	8.8	2.8	2.3	8.4	14.0	0.0	35.5	2.0	5.3	27.5
CGRRF1	76.3	79.9	68.1	79.2	71.8	72.0	88.5	44.2	55.0	49.6	53.6
CHAC2	6.8	9.5	11.7	5.9	4.2	16.0	13.8	11.9	6.5	6.7	4.5
CHAF1A	20.3	18.5	17.9	22.4	26.2	16.2	29.2	12.9	34.9	19.8	18.0
CHAF1B	50.9	45.4	22.6	32.5	32.8	25.9	45.0	15.3	30.1	15.7	24.8
CHCHD1	17.1	13.9	28.4	25.5	70.0	38.3	57.7	21.2	49.8	27.5	39.7
CHCHD10	101.3	132.5	334.5	350.3	489.6	372.6	151.3	447.4	346.8	222.3	412.7
CHCHD2	1744.4	1781.7	2461.6	2524.9	3213.2	2531.7	2140.0	1506.4	2305.6	1765.3	1940.5
CHCHD3	75.6	73.8	94.8	100.5	89.4	124.8	55.6	102.8	46.9	77.0	135.0
CHCHD4	74.7	59.6	73.5	63.2	111.9	80.9	98.2	65.9	99.3	71.6	96.0
CHCHD5	51.8	55.6	110.4	104.0	183.8	109.0	81.2	85.4	86.9	73.1	77.1
CHCHD6	14.3	5.7	9.7	17.0	34.1	13.3	15.9	5.5	12.6	14.2	14.9
CHCHD7	70.1	53.1	51.4	47.8	45.9	66.4	61.4	83.2	44.3	115.5	96.7
CHCHD8	13.3	16.7	26.6	24.2	26.3	21.6	15.7	2.4	12.5	21.6	22.3
CHCHD9	446.5	497.8	728.8	677.6	1016.9	616.5	585.8	590.4	757.1	474.2	702.8
CHD1	293.7	302.2	175.2	189.1	204.1	151.1	198.3	84.7	180.3	127.3	97.2
CHD1L	46.8	51.6	18.2	29.7	48.4	39.6	54.6	38.4	43.3	30.3	31.8
CHD2	56.3	49.7	14.3	14.3	14.8	14.8	5.3	11.0	2.9	13.0	6.5
CHD3	5.1	9.7	2.1	17.3	9.0	5.9	9.0	14.6	13.9	8.6	12.8
CHD4	160.1	177.1	126.9	103.4	124.2	122.1	144.5	147.9	160.1	126.5	150.2
CHD6	15.6	15.6	25.8	27.3	11.2	12.8	18.4	20.8	18.1	13.7	13.2
CHD7	63.7	60.0	88.8	81.9	28.8	32.0	32.3	35.8	38.5	39.1	13.7
CHD8	189.7	199.3	231.5	211.2	140.6	91.5	190.8	297.9	234.6	247.9	170.6
CHD9	213.9	188.0	103.1	87.3	184.2	157.3	293.3	233.5	338.6	177.1	185.9
CHEK1	25.6	20.4	27.8	23.0	36.2	41.2	43.8	33.1	39.3	26.1	43.1
CHEK2	19.0	13.5	15.1	12.6	12.5	24.9	11.4	16.0	14.9	14.8	24.3
CHERP	19.9	30.0	17.2	17.4	14.2	22.5	12.9	24.2	7.0	16.6	12.6
CHES1	416.3	376.5	588.5	565.3	554.4	473.2	761.8	456.4	475.9	393.9	436.7
CHFR	246.1	253.6	401.1	416.6	224.5	203.3	233.7	218.7	220.9	271.9	146.7
CHI3L2	6.0	7.6	12.2	13.5	16.6	12.3	5.9	2.6	8.2	5.7	3.4
CHIC2	392.8	338.1	225.5	155.4	339.2	340.7	243.9	186.1	189.8	178.3	223.3
CHIT1	10.6	2.9	6.4	7.0	11.1	1.6	7.3	26.0	5.6	23.4	0.0
CHKA	18.7	16.9	10.5	13.5	14.7	9.7	15.6	9.8	12.6	10.9	7.6
CHKB	83.8	88.0	133.3	125.0	66.7	78.1	66.8	160.6	84.8	130.6	132.3
CHM	12.2	6.3	20.8	22.1	20.9	14.4	34.6	8.9	26.4	26.8	13.3
CHML	5.2	8.7	6.5	3.8	6.4	4.3	9.8	9.2	6.0	9.0	3.7
CHMP1A	215.6	250.7	261.4	211.3	192.8	170.9	43.6	144.3	89.6	78.4	105.0
CHMP1B	329.0	291.8	321.9	346.1	271.4	508.1	184.2	267.2	122.9	308.9	342.8
CHMP2A	106.9	99.9	83.9	85.0	136.4	120.7	77.4	94.7	93.5	92.8	83.8
CHMP2B	49.1	48.6	61.7	42.8	65.2	122.0	91.7	69.9	69.2	79.1	91.5
CHMP4A	152.8	158.8	259.1	268.4	318.3	252.5	215.2	255.2	310.3	253.2	249.2
CHMP4B	111.7	113.9	135.2	122.6	227.4	199.3	285.7	184.5	223.2	176.1	159.8
CHMP5	148.5	129.3	141.8	149.7	177.8	252.3	134.6	118.5	138.8	163.0	133.0
CHMP6	23.7	10.3	31.8	32.6	38.4	31.9	13.6	19.6	13.0	22.4	15.7
CHMP7	0.0	10.0	41.2	39.9	19.2	17.3	4.0	11.3	4.4	15.6	7.7
CHN2	5.8	4.3	18.0	16.4	13.5	18.1	31.7	12.9	21.0	17.5	20.1
CHORDC1	23.4	18.5	15.6	17.1	11.3	18.0	15.0	7.6	11.7	24.4	31.7
CHP	290.1	373.3	279.7	248.4	317.0	317.9	223.3	421.8	438.3	405.5	445.0
CHPF	5.2	3.4	34.7	6.2	14.3	11.6	2.1	9.3	15.3	4.9	20.6
CHPF2	29.9	29.4	24.8	6.6	41.7	29.2	39.5	16.9	37.6	23.1	14.6
CHPT1	370.9	362.3	303.4	286.4	122.2	234.7	367.0	272.5	230.4	225.0	311.3
CHRAC1	27.3	30.0	18.1	21.4	26.8	35.7	41.7	13.7	21.1	21.4	17.5
CHRNA10	30.4	37.0	15.7	19.7	11.0	6.1	6.4	10.4	9.0	4.6	7.4
CHRNA2	16.5	6.2	10.7	11.0	13.9	0.0	5.8	0.0	1.6	2.6	7.2
CHRNA5	246.8	206.6	101.9	131.5	183.2	90.4	270.8	376.7	538.7	450.0	302.7
CHRNB1	15.0	17.5	37.7	28.1	25.7	21.9	23.2	36.0	30.8	37.6	40.5
CHRNB4	3.8	6.3	6.0	0.0	10.0	1.9	6.5	12.9	15.7	6.1	6.9
CHST10	7.1	15.4	6.5	12.5	11.2	9.2	7.4	11.7	11.3	11.0	10.1
CHST12	34.5	35.9	13.6	7.3	56.3	33.5	25.6	37.7	41.5	53.9	37.7
CHST13	110.2	100.5	8.8	9.5	40.5	20.2	53.0	102.0	82.5	83.4	20.5
CHST14	1.5	7.9	0.6	5.3	22.2	14.4	41.5	12.7	28.5	14.9	15.0
CHST15	38.6	38.5	105.6	114.2	111.6	95.7	272.1	119.8	219.8	97.5	49.4
CHST2	12.0	15.5	24.6	22.7	19.0	11.6	19.5	11.6	25.4	6.6	10.7
CHST3	2.8	0.0	15.7	7.5	4.7	8.9	5.0	7.9	7.6	6.2	3.1
CHST7	14.3	9.7	24.9	18.2	57.9	39.2	38.3	14.2	26.3	17.3	6.0
CHSY1	314.3	270.5	351.9	390.9	487.2	430.8	456.4	321.4	379.5	226.8	315.4
CHTF18	33.9	56.2	70.7	62.5	52.3	38.7	39.0	60.7	34.4	32.3	36.6
CHUK	82.9	77.7	69.5	93.4	78.8	89.9	125.3	88.4	85.7	80.1	71.2
CHURC1	50.6	50.3	100.4	97.2	79.5	81.2	380.9	244.3	353.2	427.9	103.8
CIAO1	129.7	110.7	107.9	115.2	137.5	112.4	235.6	216.9	279.7	314.8	237.6
CIAPIN1	25.3	28.9	43.8	57.8	44.5	41.5	35.1	29.6	24.4	36.2	37.0
CIB1	2084.4	2033.6	1368.4	1317.3	1290.1	1089.9	1332.9	1006.5	1326.7	1066.3	930.2
CIB2	1.4	6.5	3.2	2.2	10.1	6.1	2.7	18.9	7.6	5.1	6.2
CIC	57.6	78.7	49.4	43.8	68.6	66.5	37.1	94.9	49.7	42.2	59.8
CICE	130.3	124.7	45.6	47.9	33.1	53.5	35.6	57.2	28.9	50.3	62.5
CICK0721Q.1	2.3	4.3	11.1	13.1	4.5	3.9	4.1	2.7	0.0	2.9	3.9
CIDEB	31.4	36.2	41.3	35.5	79.4	49.0	179.7	68.2	131.7	100.3	84.0
CIDECP	27.2	33.1	14.5	9.8	4.1	9.5	0.7	7.6	20.5	9.2	8.2
CIITA	11.0	11.5	24.7	10.9	12.0	10.3	19.0	5.7	14.9	12.2	9.8
CINP	3.0	9.9	11.2	4.7	21.7	17.5	5.9	7.0	1.1	10.0	11.8
CIP29	345.7	309.9	361.6	369.1	583.8	449.3	462.9	397.9	434.0	384.8	404.4
CIR1	156.7	151.6	129.0	122.0	109.4	90.1	49.3	68.7	66.3	58.8	80.6
CIRBP	1332.9	1480.1	1477.2	1521.1	1378.6	1317.3	1038.4	1184.9	922.8	1426.6	1334.1
CIRH1A	168.1	166.1	103.0	98.9	167.6	136.2	200.1	131.5	172.1	174.7	148.9
CISD1	111.4	103.9	168.8	173.9	366.9	255.0	384.1	219.8	428.4	296.5	331.6
CISD2	204.3	244.8	233.2	283.9	84.6	103.7	101.3	89.5	94.0	71.0	66.6
CISH	16.9	17.2	16.3	13.8	15.9	8.8	2.6	2.6	17.0	11.7	4.1
CITED2	418.9	430.1	246.6	246.8	114.6	171.4	141.2	166.4	129.7	176.3	238.4
CITED4	18.0	25.3	44.0	42.6	36.3	29.6	66.8	89.7	56.4	88.7	106.7
CIZ1	7.6	8.7	2.3	8.6	8.8	4.9	6.1	9.4	2.4	2.0	2.3
CKAP2	45.6	41.9	44.7	51.7	34.0	40.7	65.4	38.6	64.7	35.0	36.9
CKAP2L	44.3	44.3	83.9	81.1	80.2	72.7	64.0	73.4	66.4	30.6	58.8
