TargetID	MF1.AVG_Signal	MF1-2.AVG_Signal	MF3.AVG_Signal	MF3-2.AVG_Signal	MF6.AVG_Signal	MF6-2.AVG_Signal	A1.AVG_Signal	B1.AVG_Signal	C1.AVG_Signal	D1.AVG_Signal	E1.AVG_Signal
HS.545243	0.0	4.4	2.5	13.5	0.0	0.0	3.4	0.0	6.8	0.3	6.0
HS.545246	5.3	6.3	4.7	6.8	5.9	7.2	3.2	6.3	7.6	5.5	4.1
HS.545250	3.4	0.0	4.3	4.3	5.7	0.1	0.0	1.9	3.5	0.0	7.2
HS.545251	1.7	4.1	7.9	0.6	3.9	7.9	1.3	2.9	1.6	1.5	3.6
HS.545277	2.1	0.3	1.7	0.8	4.0	3.7	2.4	4.2	1.3	5.1	3.1
HS.545298	8.4	0.1	2.4	1.5	5.5	2.8	1.4	0.0	3.9	0.0	0.0
HS.545299	0.0	0.0	2.2	5.0	1.3	0.0	0.4	12.6	4.1	0.0	0.0
HS.545338	4.3	3.9	0.0	3.2	3.4	1.8	0.0	3.1	0.0	0.0	5.2
HS.545352	3.0	5.3	6.5	4.0	3.9	2.6	5.3	7.5	0.6	0.5	4.4
HS.545364	2.5	0.0	1.2	0.5	2.1	5.0	0.0	4.5	4.0	4.5	0.5
HS.545388	1.5	0.0	0.0	0.0	1.5	0.0	1.6	0.0	0.9	2.1	0.0
HS.545394	0.6	7.0	0.3	2.5	0.0	0.0	0.1	0.0	4.3	0.2	0.0
HS.545397	0.0	1.1	4.0	5.1	0.0	4.1	0.0	1.1	0.0	0.8	2.9
HS.545422	23.3	14.3	10.7	19.4	11.7	14.8	13.7	22.2	24.2	8.0	8.9
HS.545426	0.8	0.1	0.0	0.0	0.0	2.3	0.0	3.6	0.0	3.0	0.0
HS.545428	0.0	2.2	3.2	4.3	2.7	0.0	2.3	1.9	0.0	4.9	5.3
HS.545462	0.0	0.7	2.0	4.3	2.6	0.0	6.0	0.0	1.9	0.0	3.2
HS.545468	4.2	7.1	0.0	4.9	5.0	4.4	6.7	6.3	11.6	5.5	8.9
HS.545507	0.4	0.0	0.0	4.5	0.0	1.0	0.0	4.4	4.3	3.3	3.5
HS.545514	10.3	0.3	8.7	8.3	5.6	2.9	11.7	7.1	0.0	5.8	10.3
HS.545519	12.1	11.3	5.3	1.6	1.9	1.7	5.8	2.7	4.4	8.2	4.7
HS.545527	0.0	4.7	2.8	1.2	9.2	3.0	1.8	1.3	3.3	2.5	1.6
HS.545536	0.7	3.8	4.1	0.0	0.4	0.0	1.8	0.0	3.7	2.1	3.0
HS.545544	0.0	1.7	0.0	0.0	0.0	0.0	0.4	0.5	0.0	0.0	0.0
HS.545551	10.3	6.6	3.8	2.1	0.0	5.1	4.9	7.5	3.5	4.1	5.4
HS.545554	0.0	0.0	8.8	0.0	4.6	0.0	0.0	2.0	0.0	0.0	2.6
HS.545586	5.0	4.1	0.0	5.9	0.4	0.0	1.9	0.0	7.5	1.2	0.0
HS.545587	0.5	0.7	1.1	3.7	2.3	0.3	0.9	0.0	2.2	0.0	0.0
HS.545589	12.2	21.8	8.3	0.0	0.0	7.0	7.1	1.7	6.1	1.3	3.7
HS.545597	9.7	5.2	0.0	4.5	7.2	5.9	6.2	3.9	18.3	6.1	3.2
HS.545602	0.0	0.0	6.2	1.9	0.0	0.9	2.4	4.2	0.0	0.0	0.0
HS.545615	7.3	9.6	6.4	11.6	23.5	10.2	18.5	21.3	26.2	13.8	16.3
HS.545626	7.9	4.6	11.0	8.5	9.1	5.0	4.2	4.7	5.5	3.8	5.3
HS.545644	4.0	2.5	1.6	8.1	0.4	0.6	0.0	2.7	3.5	1.1	0.6
HS.545648	4.2	6.5	5.9	14.3	6.0	10.3	2.4	0.0	7.5	0.0	1.6
HS.545650	0.2	0.1	4.9	3.4	8.2	0.0	0.0	0.0	4.1	0.0	6.4
HS.545655	1.1	1.7	3.7	2.5	8.0	1.4	2.6	5.7	5.7	0.0	2.5
HS.545663	5.8	9.0	5.2	1.8	6.8	0.4	4.7	12.7	7.8	4.4	7.6
HS.545670	0.0	0.2	1.8	6.0	0.0	0.0	1.2	3.0	3.7	3.0	0.0
HS.545671	4.1	0.5	11.0	2.5	7.0	1.6	0.2	1.4	2.7	0.0	5.0
HS.545680	3.9	1.0	7.7	2.7	5.3	0.2	0.0	1.5	0.5	3.4	2.9
HS.545687	4.4	2.7	0.0	9.6	3.0	5.5	2.1	1.8	7.7	3.3	6.8
HS.545716	9.3	9.2	5.0	0.0	0.9	0.0	5.0	0.0	3.9	4.5	5.4
HS.545726	7.7	3.7	1.1	0.0	0.0	3.1	0.4	5.7	6.3	3.5	0.0
HS.545759	4.8	0.0	3.0	8.8	3.1	1.4	5.4	4.7	0.0	0.0	0.9
HS.545780	3.3	5.2	4.1	0.0	0.0	3.5	5.3	1.3	0.0	2.3	1.3
HS.545821	0.0	5.1	1.3	4.9	0.3	1.2	2.2	1.6	3.0	5.1	4.3
HS.545838	5.0	0.3	6.0	9.2	3.6	0.0	0.5	3.9	0.0	2.2	2.0
HS.545844	0.0	1.0	3.5	5.3	12.9	5.2	0.0	1.1	0.0	0.0	1.2
HS.545887	2.0	5.6	2.6	4.6	3.4	0.5	5.4	4.5	5.1	0.0	5.2
HS.545893	3.7	0.0	1.7	0.0	2.5	0.0	5.0	0.0	3.8	3.5	0.0
HS.545899	0.0	0.0	4.0	0.0	1.6	0.0	2.6	0.0	0.0	0.0	0.0
HS.545947	0.0	0.0	0.0	2.1	1.1	0.0	0.0	1.6	0.9	0.2	0.1
HS.545952	0.0	0.4	3.4	0.0	4.2	2.0	1.2	7.4	4.4	0.4	4.2
HS.545976	56.0	47.1	72.9	78.0	42.8	37.3	35.0	66.0	88.8	25.0	62.8
HS.545993	5.7	5.6	8.4	7.3	1.1	2.5	2.0	7.1	3.1	4.5	2.3
HS.546003	0.0	0.0	0.7	5.2	0.2	8.1	2.4	6.5	2.5	2.4	0.0
HS.546008	0.0	5.8	2.8	3.3	3.5	5.4	3.3	7.7	7.8	2.2	3.3
HS.546021	3.0	1.8	0.0	0.0	1.2	3.6	0.0	0.0	0.0	2.4	0.7
HS.546047	3.9	0.0	3.8	7.6	4.6	5.1	0.0	9.2	1.7	3.2	2.6
HS.546054	6.4	7.5	1.3	1.2	0.0	0.0	0.0	1.0	0.6	0.0	1.6
HS.546062	0.0	1.1	1.4	8.0	5.9	0.4	0.4	0.0	4.3	0.0	2.6
HS.546079	0.0	4.9	1.5	1.4	0.0	0.0	4.8	12.0	0.0	0.6	2.8
HS.546089	1.2	1.4	0.0	3.9	4.2	1.2	0.0	0.0	0.0	0.4	0.4
HS.546105	0.0	5.5	4.3	9.0	11.7	0.9	7.3	7.0	7.2	14.1	12.7
HS.546114	5.7	4.6	2.2	4.6	9.1	0.0	4.7	5.4	8.6	1.9	3.6
HS.546119	11.8	0.0	3.3	0.0	2.9	7.8	5.2	0.0	0.1	0.0	0.0
HS.546135	3.9	1.1	5.5	16.5	5.8	3.6	5.1	6.7	4.5	7.0	2.5
HS.546148	0.0	0.0	0.0	4.8	5.5	0.0	3.5	1.0	4.1	1.6	0.1
HS.546150	7.2	0.4	7.3	8.8	13.6	4.8	2.7	0.0	5.3	0.0	4.8
HS.546177	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2
HS.546213	1.9	5.3	0.2	5.6	7.1	0.3	0.5	5.1	4.3	4.8	0.0
HS.546375	62.7	50.6	164.0	129.1	76.8	205.2	168.8	385.4	158.3	523.5	421.0
HS.546379	0.7	6.7	1.2	2.5	1.1	0.6	2.4	1.0	0.0	2.3	15.7
HS.546661	0.0	0.0	1.3	0.0	0.0	1.7	3.7	0.0	0.0	0.0	0.0
HS.546710	0.7	1.4	0.0	0.0	4.3	0.0	0.0	0.0	3.2	0.0	0.3
HS.546837	5.1	2.7	0.0	4.5	1.2	7.8	0.0	0.0	0.0	0.0	0.0
HS.546898	7.2	6.8	4.4	3.4	8.0	7.6	2.1	6.5	12.7	7.5	5.6
HS.547160	2.5	5.7	6.1	7.8	3.2	3.7	0.0	0.5	5.2	1.7	0.0
HS.547175	8.3	3.2	2.4	8.0	0.0	5.6	0.0	0.0	4.8	5.8	2.0
HS.547201	1.5	4.9	0.0	0.0	9.5	0.0	6.6	7.4	3.4	5.0	0.0
HS.547239	5.0	6.5	5.4	7.9	6.0	3.2	8.2	2.5	15.1	8.3	8.8
HS.547245	0.0	0.0	3.5	0.0	0.4	4.1	0.0	0.0	2.3	0.6	9.4
HS.547272	1.0	1.7	0.9	3.8	0.0	0.2	4.1	0.9	0.0	0.0	0.0
HS.547277	131.1	142.3	34.3	45.4	16.9	13.9	30.8	19.6	22.3	8.5	14.0
HS.547293	3.8	2.2	0.0	0.0	3.5	2.4	1.7	4.9	1.5	0.0	8.8
HS.547332	8.5	0.0	4.1	1.6	0.0	0.3	3.7	2.9	4.0	1.3	0.0
HS.547341	3.2	0.2	0.0	6.9	10.2	7.4	3.2	0.7	5.7	0.0	0.0
HS.547366	1.5	0.4	1.5	0.0	6.5	1.3	0.0	0.0	5.2	0.0	0.0
HS.547503	12.4	14.1	3.5	12.8	18.9	5.1	11.8	3.7	18.0	9.3	3.6
HS.547551	4.2	1.2	1.9	8.2	0.4	0.0	0.0	7.5	0.0	7.0	0.5
HS.547587	1.1	9.4	0.8	3.5	6.1	3.4	6.0	3.9	0.6	5.6	0.1
HS.547601	10.5	5.5	10.6	5.3	16.6	2.3	13.3	11.4	18.7	7.5	7.1
HS.547715	1.3	7.3	0.0	2.6	5.8	1.9	0.0	6.1	4.8	4.8	5.1
HS.547738	0.0	2.3	4.0	6.7	16.0	8.7	0.9	6.7	4.1	6.4	5.8
HS.547797	7.5	9.6	7.2	5.0	5.4	2.7	0.0	4.5	7.0	2.8	7.8
HS.547824	4.5	4.5	1.3	4.2	2.5	0.0	4.0	9.9	4.9	3.1	0.2
HS.547858	7.6	0.0	6.2	2.5	4.8	8.4	6.5	10.3	4.9	2.6	1.3
HS.547861	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.3	0.0	3.3	1.7
HS.547935	0.0	0.0	1.3	6.0	2.5	2.0	0.0	2.6	2.1	0.0	0.0
HS.547985	13.1	0.0	0.0	6.9	1.0	1.6	6.9	0.0	0.4	0.0	2.3
HS.548045	8.6	6.0	14.9	6.1	9.4	2.6	8.5	0.8	10.7	3.1	2.9
HS.548146	0.0	0.0	0.9	0.0	3.0	0.4	1.1	4.2	0.0	0.0	0.9
HS.548213	2.8	5.5	10.2	6.5	13.1	11.6	6.8	3.9	2.3	6.1	3.2
HS.548302	7.0	2.6	4.8	1.7	0.0	0.0	0.0	0.6	16.0	0.0	3.0
HS.548415	4.4	0.0	9.7	9.1	10.0	10.2	29.6	19.3	123.0	11.9	40.3
HS.548433	0.0	1.7	0.0	0.0	0.0	0.0	0.0	0.0	3.2	3.3	1.9
HS.548534	0.0	1.3	3.2	2.1	0.0	3.5	0.9	0.1	0.0	2.3	0.0
HS.548635	4.2	3.9	0.0	4.2	0.0	0.0	3.7	0.0	0.0	0.0	0.0
HS.548645	0.9	2.6	2.2	0.3	3.8	3.6	6.8	1.4	0.0	0.0	0.0
HS.548787	0.0	0.0	1.2	2.8	1.2	0.0	3.0	3.3	1.8	0.7	0.0
HS.548804	1.3	0.0	0.0	0.0	0.0	0.3	1.3	11.3	7.8	0.0	2.0
HS.548831	0.0	0.5	0.0	2.2	0.0	3.7	0.9	0.0	0.0	0.0	3.6
HS.54940	9.0	7.4	0.0	7.5	0.0	1.5	6.9	3.9	17.1	3.9	0.3
HS.549435	0.3	1.8	2.0	3.0	9.5	4.3	3.2	1.6	0.4	0.0	8.0
HS.549460	10.5	4.7	0.0	1.9	0.5	0.0	0.0	2.2	0.0	0.0	0.0
HS.549487	0.0	0.0	0.0	3.7	0.0	0.0	0.0	0.0	0.0	0.0	2.0
HS.549631	0.3	0.0	2.2	0.0	0.4	3.5	0.0	0.0	0.0	0.0	0.0
HS.549668	2.3	7.6	3.3	3.8	3.5	3.5	2.0	0.0	2.1	2.9	0.0
HS.549729	0.0	0.0	0.0	0.1	1.0	0.1	3.5	7.1	13.6	0.0	3.4
HS.549783	7.1	0.0	0.0	14.3	3.6	0.0	9.7	5.5	5.2	0.0	0.0
HS.549784	2.8	1.2	3.1	1.7	2.3	0.0	0.0	5.2	0.0	5.9	2.5
HS.549805	2.5	0.0	0.0	0.0	6.1	0.8	0.0	1.4	0.0	3.7	0.0
HS.549810	0.5	5.3	1.4	3.5	3.3	0.0	0.0	0.9	3.7	2.4	0.0
HS.549823	0.7	2.3	5.3	4.5	0.0	4.2	2.3	2.7	3.3	5.5	0.0
HS.549914	1.3	6.4	0.0	14.9	4.9	0.0	5.5	8.5	0.0	4.9	2.2
HS.549963	2.9	2.0	0.8	0.4	0.0	0.0	0.4	4.3	6.1	3.0	2.4
HS.549966	0.0	0.0	0.2	3.3	0.0	2.1	0.0	0.0	3.1	0.0	0.0
HS.549989	38.0	27.2	7.5	2.2	20.0	7.8	35.2	45.3	29.2	35.3	36.4
HS.550042	2.1	7.4	0.0	0.0	1.1	3.3	3.5	0.0	2.4	2.1	0.0
HS.550068	4.8	2.2	10.5	4.3	3.7	4.2	3.3	0.0	13.2	0.0	1.8
HS.550095	0.0	1.7	6.4	0.0	0.0	6.4	0.1	4.0	0.0	3.6	0.0
HS.550111	3.9	2.0	2.8	1.8	0.0	0.0	0.0	1.0	4.9	5.4	5.5
HS.550118	5.0	0.0	0.0	0.0	0.4	1.8	0.9	1.7	9.6	2.5	5.8
HS.550126	4.7	5.6	3.6	8.3	0.1	3.1	0.0	0.0	3.0	0.0	10.3
HS.550139	8.6	6.7	12.0	18.2	7.5	11.6	7.1	20.7	16.7	11.5	16.6
HS.550193	25.9	17.3	26.2	36.6	31.3	13.4	30.0	20.5	25.4	16.2	15.3
HS.550210	4.3	5.1	11.3	2.0	0.1	0.0	0.0	2.3	0.4	1.9	3.7
HS.550218	0.0	0.0	1.0	3.1	5.7	3.8	0.0	0.0	0.0	4.0	0.5
HS.550248	0.8	1.4	3.7	2.6	0.0	3.1	5.3	0.0	0.0	0.0	2.5
HS.550254	3.1	0.0	2.4	0.0	1.5	2.0	0.0	5.5	0.0	0.8	0.0
HS.550275	7.8	0.6	8.7	2.7	2.4	4.8	6.4	1.9	2.4	0.0	5.0
HS.550282	0.0	0.0	0.0	0.0	0.0	2.5	10.6	2.1	0.0	3.2	1.1
HS.550285	0.0	2.1	7.4	0.0	3.0	0.0	0.0	1.3	0.0	0.0	4.6
HS.550287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.1
HS.550307	9.2	8.4	7.0	5.4	9.0	7.1	9.9	9.6	2.3	7.0	10.0
HS.550310	10.3	6.1	9.8	0.0	3.6	0.0	8.4	0.0	9.0	1.2	5.7
HS.550320	0.0	0.0	0.9	0.0	1.0	4.2	0.0	0.0	0.0	2.1	0.0
HS.550371	0.8	0.0	0.5	2.3	1.2	0.0	0.0	0.0	4.7	0.5	5.1
HS.550382	5.8	2.2	12.1	6.4	5.7	5.4	3.0	3.2	4.5	2.7	5.0
HS.55047	0.0	4.0	0.0	2.9	4.3	4.1	1.7	5.9	1.0	0.0	6.8
HS.550619	0.0	3.1	7.6	0.0	0.0	0.0	2.8	1.1	1.0	4.4	0.7
HS.550799	5.8	0.0	2.9	4.4	7.5	2.1	5.3	10.2	0.0	4.2	2.3
HS.550822	3.0	7.5	0.6	6.2	4.0	4.4	0.6	4.6	1.9	3.5	4.9
HS.550888	3.1	0.0	1.2	0.8	4.0	0.7	0.0	0.0	1.9	0.0	0.1
HS.550960	7.1	2.7	7.0	0.5	2.9	3.2	5.0	0.0	1.3	1.5	0.0
HS.551002	0.8	0.0	6.2	0.0	7.3	0.0	0.0	0.0	0.7	0.0	7.5
HS.551024	0.0	0.0	2.7	1.3	1.1	3.0	4.7	3.5	5.6	0.3	0.9
HS.551042	0.0	1.1	4.9	0.0	3.3	0.0	5.3	4.9	0.5	0.0	0.0
HS.551062	1.4	0.0	3.3	0.0	1.8	0.0	0.1	11.6	0.7	2.9	0.0
HS.551074	2.7	3.2	4.0	3.5	5.2	3.6	4.8	0.0	0.0	1.9	0.0
HS.551115	2.7	3.5	0.9	1.6	0.0	2.4	0.8	3.2	11.0	7.2	0.8
HS.551126	0.0	2.0	1.4	3.0	0.0	7.7	0.0	1.7	1.3	1.9	2.5
HS.551128	1.7	2.5	9.9	0.0	0.0	3.7	2.0	0.0	0.0	0.0	0.4
HS.551136	0.0	1.1	1.8	0.0	0.0	2.6	0.1	0.0	3.9	0.0	0.0
HS.551137	13.2	4.3	2.5	7.9	14.4	12.7	15.4	12.3	6.1	13.7	14.8
HS.551138	0.0	5.4	6.3	0.8	1.4	5.4	2.8	1.0	1.1	4.6	0.0
HS.551143	3.4	2.2	4.8	9.9	6.2	11.4	11.6	22.4	20.6	25.7	13.3
HS.551145	0.6	0.5	7.9	2.7	7.1	0.0	0.0	0.0	1.7	5.4	8.6
HS.551155	0.3	3.6	2.3	5.4	1.3	3.2	0.3	3.8	0.0	1.8	2.3
HS.551244	0.0	0.0	2.8	0.0	0.0	0.0	9.8	2.5	2.0	3.7	6.6
HS.551249	0.0	0.0	1.8	0.0	3.6	3.3	0.8	0.0	4.1	2.5	0.0
HS.551253	0.0	0.7	3.1	0.6	1.5	0.8	1.3	0.0	0.0	3.2	7.1
HS.551307	1.9	0.0	0.4	19.1	1.9	0.2	1.6	2.6	5.1	6.0	5.7
HS.551324	1.0	0.0	2.0	3.8	0.0	0.0	1.3	0.7	5.1	0.3	0.0
HS.551330	1.7	3.4	4.4	6.0	3.7	7.3	2.1	4.8	9.2	0.4	1.0
HS.551340	1.1	6.8	0.0	1.3	2.0	0.0	3.0	0.6	4.0	6.5	1.1
HS.551358	4.4	3.0	5.4	11.4	0.0	1.7	1.3	3.5	5.5	2.2	1.9
HS.551361	8.9	19.2	3.6	3.2	2.2	1.3	6.6	0.7	1.0	5.4	0.0
HS.551438	1.3	7.7	3.4	0.0	3.9	2.4	0.0	2.4	0.0	3.4	0.0
HS.551458	1.8	2.7	0.0	0.0	0.0	0.6	0.4	4.0	0.0	2.4	3.7
HS.551538	30.2	37.5	21.9	31.4	59.5	22.9	26.8	20.7	30.5	27.6	23.4
HS.551750	0.0	4.8	4.8	0.0	0.0	0.0	3.0	0.0	0.0	0.3	4.4
HS.551755	4.7	5.2	0.0	0.0	3.2	3.7	9.8	4.4	6.2	4.2	0.0
HS.551803	0.0	2.1	4.9	0.0	4.3	1.6	2.3	1.6	2.0	1.2	6.1
HS.551815	5.3	1.6	0.0	0.6	0.4	1.7	14.5	16.4	0.0	14.0	1.6
HS.551832	1.5	3.3	12.2	4.2	0.0	5.4	2.5	2.9	4.3	2.6	1.6
HS.551847	25.7	25.5	26.0	21.6	24.2	20.0	29.2	7.1	21.3	25.1	14.1
HS.551898	6.9	1.9	6.4	6.0	7.1	1.6	3.8	6.0	6.0	2.3	0.8
HS.551942	5.6	3.4	2.9	2.5	13.1	3.9	0.0	1.8	0.8	3.2	0.0
HS.551957	5.0	7.3	13.0	8.9	0.1	6.6	5.6	1.1	7.3	3.2	4.4
HS.552008	5.9	0.0	14.0	0.0	0.0	4.1	0.0	1.4	0.0	9.1	0.0
HS.552025	8.0	5.1	12.2	21.6	6.4	12.5	32.5	21.8	23.4	19.2	15.3
HS.552045	1.1	3.8	1.5	0.9	1.9	6.0	0.0	7.3	5.2	1.8	6.2
HS.552082	22.6	34.2	18.8	14.4	130.1	57.1	135.2	116.1	114.5	92.4	99.6
HS.552087	0.0	7.0	7.1	0.6	2.3	0.0	0.0	3.8	0.0	8.2	6.3
HS.552155	0.5	0.0	0.0	0.0	0.0	2.8	1.1	0.0	0.0	1.4	0.0
HS.552160	2.9	2.5	0.0	0.0	0.7	0.0	0.0	3.5	0.5	0.0	0.0
HS.552183	0.0	5.6	4.9	10.7	0.3	2.3	6.8	0.3	0.9	3.0	0.9
HS.552203	5.7	5.3	6.5	1.2	0.0	0.0	2.8	2.3	6.0	4.5	4.6
HS.552207	1.7	3.1	5.1	0.0	1.5	1.7	3.5	0.0	0.0	0.0	3.0
HS.552263	1.1	1.0	1.1	7.8	1.2	0.0	0.0	3.6	0.0	0.0	2.4
HS.552282	3.8	7.3	0.8	2.6	0.7	0.9	0.0	1.1	0.0	7.0	0.0
HS.552297	0.0	14.7	2.4	3.5	12.0	0.0	0.7	2.7	8.8	5.4	3.5
HS.552320	0.0	3.9	0.8	1.7	0.2	2.5	2.5	0.0	0.0	0.0	0.5
HS.552332	0.0	0.0	4.9	3.6	0.6	0.0	0.3	7.2	3.9	1.2	0.0
HS.552336	3.3	0.6	0.9	2.1	3.6	0.0	0.0	4.5	2.6	4.4	0.2
HS.552354	0.4	1.1	0.0	0.0	10.6	0.3	3.3	0.0	0.0	1.8	4.7
HS.552357	15.2	3.0	14.3	5.9	4.9	4.8	4.3	4.6	2.5	6.9	14.8
HS.552423	0.0	1.9	0.4	4.9	1.0	2.7	2.4	1.2	2.8	2.3	6.1
HS.552427	0.0	2.4	0.0	0.0	2.2	1.4	0.0	0.0	2.2	0.0	0.0
HS.55246	14.5	11.0	8.1	3.5	2.6	8.1	7.5	7.7	6.2	5.9	1.8
HS.552496	1.0	4.7	0.2	0.5	4.6	1.8	3.9	0.6	0.6	0.0	0.0
HS.552561	0.0	2.2	1.1	0.0	0.0	0.0	0.0	1.4	2.1	0.0	1.3
HS.552684	1.2	0.0	0.0	6.0	1.4	0.0	0.3	9.2	0.0	1.9	0.0
HS.552709	0.0	0.0	0.8	0.1	4.5	0.0	0.0	0.0	0.0	0.1	0.0
HS.552750	0.0	5.7	0.0	1.2	0.0	0.1	0.0	0.0	0.0	4.2	3.3
HS.552799	15.8	10.5	13.6	35.2	12.8	15.1	30.9	16.4	13.8	15.6	15.1
HS.552826	3.0	1.3	2.6	0.0	3.2	2.2	2.0	0.2	0.4	9.9	0.7
HS.552871	4.1	12.2	10.0	4.4	0.0	0.3	2.8	0.6	5.2	1.2	0.0
HS.552896	8.5	0.0	7.5	0.0	0.0	0.6	0.0	1.3	0.0	0.0	2.5
HS.552910	2.9	1.2	0.0	3.5	1.2	6.9	0.0	3.2	0.0	4.2	0.0
HS.552917	6.6	5.2	3.5	12.1	7.7	5.2	2.6	2.9	1.5	0.3	8.7
HS.552934	4.4	4.2	1.1	11.8	2.4	0.0	5.6	3.7	12.2	4.0	1.8
HS.552957	16.7	19.2	9.4	7.9	7.2	6.9	6.4	4.8	19.1	8.9	10.3
HS.553019	2.5	0.9	0.0	0.0	2.1	0.0	1.2	0.0	0.0	0.0	3.8
HS.553068	3.3	3.6	0.0	5.2	1.2	2.0	2.8	0.0	0.0	7.8	3.7
HS.553070	4.6	1.7	3.4	4.0	1.2	0.0	0.9	3.0	0.8	4.3	7.2
HS.553088	3.8	0.4	4.8	0.0	2.5	3.6	0.0	6.1	5.6	1.8	4.4
HS.553134	0.0	2.3	1.7	4.9	4.0	4.0	2.0	1.8	12.9	6.6	6.1
HS.553156	0.0	7.9	0.0	0.8	0.0	2.8	3.9	1.9	0.0	6.8	0.2
HS.553158	4.2	6.9	3.6	0.0	15.0	3.2	2.7	0.0	15.3	5.9	0.7
HS.553161	4.9	5.4	2.3	3.1	3.0	3.9	2.5	7.3	1.4	4.2	0.8
HS.553187	2.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
HS.553217	1.8	3.0	1.2	0.0	0.0	0.6	0.6	0.0	4.8	6.2	2.1
HS.553231	4.9	0.0	3.0	4.7	0.6	0.4	6.6	7.5	2.6	1.2	3.7
HS.553278	6.4	7.8	0.6	13.7	0.5	3.4	9.2	3.8	1.5	1.1	3.4
HS.553290	7.8	1.6	7.9	3.4	9.9	0.0	3.4	4.4	0.3	6.3	6.6
HS.553291	9.8	3.1	0.6	7.7	1.4	3.0	0.0	0.0	2.6	0.0	1.4
HS.553301	170.2	133.6	29.4	20.8	74.6	54.6	296.4	232.3	301.3	326.0	216.6
HS.553310	0.0	14.0	3.3	2.4	1.9	0.0	0.0	8.2	4.3	1.7	4.2
HS.553349	2.5	0.0	0.0	0.0	0.3	0.0	3.5	5.7	2.1	4.4	0.0
HS.553351	0.0	3.7	7.0	3.2	7.5	2.2	5.4	10.7	4.1	3.6	0.0
HS.553431	0.0	3.1	19.1	3.6	1.4	9.4	7.6	5.9	1.2	4.8	1.9
HS.553450	0.9	0.2	0.0	0.8	3.0	1.0	0.0	9.6	0.0	0.0	0.0
HS.554039	0.2	7.4	0.9	1.1	6.7	6.4	7.8	1.2	1.6	1.0	5.3
HS.554051	4.0	0.0	1.4	0.0	1.7	4.1	0.0	0.0	0.0	3.9	1.7
HS.554056	0.0	3.6	7.1	1.5	0.2	3.3	0.0	0.0	0.0	4.6	0.1
HS.554066	0.5	2.5	0.0	0.0	0.0	0.0	0.0	3.6	0.0	1.4	2.0
HS.554075	5.5	3.1	0.0	0.5	4.5	0.1	1.8	3.5	0.2	0.0	2.7
HS.554084	0.8	9.9	0.0	5.2	6.5	8.0	3.4	0.0	0.0	5.0	0.0
HS.554169	0.0	2.6	0.6	0.0	0.0	1.6	0.9	2.9	0.5	0.0	0.6
HS.554203	56.0	46.1	31.1	28.4	12.5	8.8	27.1	42.1	28.4	21.2	12.8
HS.554211	4.5	0.1	1.5	0.5	8.5	4.8	7.8	1.9	6.8	5.8	2.2
HS.554274	0.0	0.0	0.0	4.2	0.9	0.0	3.0	4.7	0.0	1.8	0.0
HS.554282	0.0	0.0	0.0	2.5	3.4	0.0	8.1	5.6	0.0	0.5	0.0
HS.554298	6.8	8.2	0.8	4.4	0.0	6.5	7.1	2.5	3.5	4.1	0.0
HS.554319	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	3.0	0.0
HS.554324	334.5	364.3	1458.3	1275.1	491.2	523.5	330.1	613.8	493.8	855.8	651.5
HS.554328	7.6	3.6	1.8	3.7	0.0	4.9	2.3	2.9	1.8	1.4	1.8
HS.554391	7.2	1.4	0.3	0.0	0.0	0.0	5.1	0.0	2.5	0.0	0.9
HS.554445	8.8	10.4	0.0	3.1	21.1	15.0	8.6	6.4	10.5	6.7	0.1
HS.554452	0.0	8.6	13.0	0.0	0.0	0.0	3.3	0.0	0.0	3.2	0.0
HS.554470	2.2	0.0	3.0	3.7	3.3	0.0	4.2	0.0	14.1	5.5	3.6
HS.554478	2.2	5.7	8.2	6.4	10.9	6.5	4.7	1.9	2.6	8.9	8.2
HS.554507	7.7	10.0	1.6	2.1	0.0	4.4	10.4	6.2	9.0	3.3	1.7
HS.554537	3.6	4.4	0.8	3.3	2.0	0.0	4.0	2.1	3.3	2.6	2.5
HS.554567	3.9	0.0	3.8	4.8	1.7	1.6	10.2	0.9	3.9	4.1	8.8
HS.554587	0.0	5.7	0.4	0.0	0.0	0.0	0.0	0.3	0.0	0.6	3.4
HS.554595	3.6	1.4	7.7	0.0	2.6	2.1	3.6	8.2	2.5	6.1	4.5
HS.554603	1.8	4.2	2.0	4.8	1.2	3.3	0.0	0.0	7.4	0.0	0.0
HS.554608	6.1	0.1	12.3	5.9	4.1	13.5	5.5	3.5	9.9	0.6	0.3
HS.554615	1.4	4.0	19.5	0.0	2.8	4.7	6.0	0.9	1.1	1.1	1.3
HS.554642	0.0	0.0	1.9	0.1	0.0	1.8	3.7	0.0	2.1	0.0	0.0
HS.554667	2.5	2.8	4.0	0.0	0.0	0.0	0.0	0.0	2.7	0.0	0.0
HS.554701	1.7	0.0	1.9	0.2	1.0	1.2	2.4	0.0	1.1	6.6	0.0
HS.554965	3.1	4.4	14.1	3.2	7.3	0.0	2.9	1.3	7.7	3.6	0.5
