TargetID	MF1.AVG_Signal	MF1-2.AVG_Signal	MF3.AVG_Signal	MF3-2.AVG_Signal	MF6.AVG_Signal	MF6-2.AVG_Signal	A1.AVG_Signal	B1.AVG_Signal	C1.AVG_Signal	D1.AVG_Signal	E1.AVG_Signal
ABCC2	0.0	0.0	1.4	0.0	0.0	2.0	0.0	9.3	5.7	4.2	4.2
ABCC3	42.1	44.1	10.6	13.4	48.9	50.7	26.4	10.4	29.9	10.4	4.9
ABCC4	217.6	214.2	73.0	92.1	48.6	63.3	70.9	25.0	55.2	23.5	30.6
ABCC5	100.4	97.5	72.4	72.5	37.1	34.8	69.7	42.8	68.5	43.6	40.1
ABCC6	0.4	1.8	1.0	0.9	2.1	1.4	1.9	1.1	2.9	4.3	0.3
ABCC6P1	0.4	6.0	1.5	0.0	7.2	5.5	1.5	1.8	0.0	3.8	8.4
ABCC6P2	4.9	9.7	2.2	7.1	1.4	8.2	0.0	2.8	2.1	1.8	0.2
ABCC8	0.6	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.0	0.0	0.0
ABCC9	4.1	0.0	0.0	1.1	2.4	0.0	4.5	2.4	2.4	4.0	0.9
ABCD1	4.2	13.3	13.0	22.7	44.4	39.2	4.5	32.6	20.8	10.2	30.2
ABCD2	0.3	1.3	0.8	0.7	0.0	0.2	0.8	0.0	1.6	0.3	0.0
ABCD3	4.5	17.0	11.4	16.4	6.1	14.8	24.7	10.5	21.5	21.3	21.8
ABCD4	1.7	0.7	1.9	0.0	0.3	0.0	1.0	2.6	0.0	2.2	3.2
ABCE1	107.3	93.7	158.4	177.9	125.8	184.1	184.4	128.8	187.0	139.6	177.6
ABCF1	313.2	312.1	192.7	224.5	227.4	185.7	182.5	147.6	183.7	147.9	156.9
ABCF2	8.3	9.1	19.0	12.3	16.3	17.7	23.0	22.8	16.6	20.2	18.0
ABCF3	19.4	20.8	17.3	12.6	9.3	10.8	2.0	17.3	7.4	15.3	4.9
ABCG1	13.3	19.7	6.3	8.9	13.5	11.1	7.9	4.1	7.3	6.4	8.5
ABCG2	0.0	0.5	1.4	0.0	0.8	4.4	2.3	1.2	0.0	1.3	0.0
ABCG4	0.1	9.1	1.4	0.0	7.1	0.0	0.0	0.4	8.3	0.0	4.8
ABCG5	7.2	4.9	16.2	0.0	3.3	2.0	0.0	0.0	0.0	0.0	2.7
ABCG8	2.0	2.6	0.2	2.9	0.0	0.0	0.0	1.8	0.0	0.0	0.8
ABHD1	6.8	0.0	1.1	5.4	0.1	1.5	3.0	0.0	4.5	1.3	0.0
ABHD10	26.2	23.8	36.2	34.6	38.2	29.1	75.7	19.9	44.2	28.8	30.1
ABHD11	0.0	0.8	0.0	1.3	1.0	4.7	2.3	5.5	0.0	5.0	5.2
ABHD12	16.7	24.0	32.0	29.9	24.6	24.2	12.1	17.1	7.8	14.9	23.1
ABHD12B	0.3	1.1	0.2	0.3	1.1	0.0	0.0	0.0	6.1	0.0	0.4
ABHD13	3.4	2.8	4.1	3.7	1.4	4.8	0.0	1.7	0.0	1.5	3.3
ABHD14A	49.1	53.7	50.9	40.5	95.9	58.5	59.7	53.3	62.0	55.8	69.3
ABHD14B	18.9	17.1	45.2	38.3	48.9	21.9	24.3	20.0	23.9	21.3	18.7
ABHD15	17.5	19.6	36.9	49.7	18.2	28.5	46.5	31.2	45.1	48.4	54.9
ABHD2	12.9	11.7	8.1	7.7	5.2	7.0	4.5	6.7	4.9	1.5	3.4
ABHD3	35.5	30.7	58.8	60.9	22.0	54.8	43.8	46.2	34.2	102.9	72.7
ABHD4	46.0	51.2	16.4	14.9	22.0	18.0	14.4	7.1	18.3	6.1	5.9
ABHD5	223.0	212.8	141.1	146.5	88.7	107.1	102.7	66.3	81.7	57.2	57.9
ABHD6	8.6	2.1	11.6	20.2	29.2	20.2	17.2	24.6	16.8	20.0	20.0
ABHD7	4.9	0.0	4.6	4.0	5.5	3.3	1.0	5.1	12.3	8.2	1.8
ABHD8	20.0	20.4	36.5	42.2	49.8	37.4	31.4	36.5	31.7	44.6	33.0
ABHD9	0.0	2.9	0.0	2.8	4.2	4.2	2.2	0.0	5.6	0.0	0.0
ABI1	48.9	54.8	48.9	50.8	38.7	42.7	57.6	60.3	53.0	61.6	38.2
ABI2	9.1	8.0	6.0	3.6	16.5	13.1	7.6	7.7	8.6	7.4	4.9
ABI3	85.8	95.6	53.0	61.7	144.0	115.8	50.5	63.2	53.4	61.7	30.2
ABI3BP	5.9	0.0	0.0	1.9	0.8	3.7	1.1	3.9	1.7	0.0	0.0
ABL1	49.4	40.4	32.4	26.9	30.5	28.3	35.8	21.2	25.0	25.1	21.5
ABL2	0.0	1.9	2.9	0.8	3.0	1.9	0.0	0.0	3.3	0.1	5.7
ABLIM1	75.6	71.0	183.0	167.2	42.3	37.0	90.6	80.6	90.0	107.4	85.4
ABLIM2	0.0	0.0	0.4	0.0	0.0	3.8	1.3	0.0	0.0	0.0	0.9
ABLIM3	5.0	1.6	0.0	0.0	20.0	8.3	5.7	0.0	4.1	1.0	0.0
ABO	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0
ABP1	0.0	0.0	0.0	0.0	0.8	2.1	4.0	0.0	0.0	1.0	0.0
ABR	51.9	42.7	54.2	40.3	55.6	40.0	64.3	54.5	61.3	73.6	36.7
ABRA	0.0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABT1	14.9	5.0	25.8	12.2	20.6	24.8	14.3	2.4	34.5	18.4	14.7
ABTB1	168.1	191.5	194.2	172.2	127.8	104.0	67.4	199.6	77.1	122.0	61.7
ABTB2	0.0	0.0	0.0	0.2	0.0	0.0	5.8	0.0	0.0	1.3	1.8
ACAA1	105.9	113.7	177.0	129.4	169.5	143.7	53.7	196.0	104.1	182.7	215.7
ACAA2	45.8	56.3	112.0	128.5	84.4	88.9	101.7	96.5	110.9	83.6	132.1
ACACA	35.7	34.9	21.1	26.9	22.6	25.4	32.5	15.4	24.5	16.0	14.6
ACACB	12.8	18.5	31.8	32.2	12.5	9.8	24.7	19.0	22.7	29.2	14.8
ACAD10	28.9	24.1	37.2	55.9	13.0	19.2	17.8	25.3	39.3	45.3	15.3
ACAD11	100.8	79.6	96.0	95.3	37.1	46.2	82.0	86.2	73.7	91.4	55.8
ACAD8	32.0	30.5	37.8	51.6	20.1	32.0	41.4	51.5	34.4	49.6	24.6
ACAD9	53.7	55.1	56.8	71.6	131.3	81.2	71.8	52.7	96.2	78.3	71.2
ACADL	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0
ACADM	148.9	144.5	143.5	131.0	192.6	251.2	207.6	165.0	172.7	228.2	246.4
ACADS	12.7	29.1	21.1	10.6	18.7	16.3	0.0	16.6	11.0	8.9	24.5
ACADSB	6.5	0.0	0.1	4.9	0.0	2.3	5.2	0.0	0.0	5.6	2.6
ACADVL	352.2	358.0	450.4	365.0	249.9	233.0	308.2	334.7	308.8	308.3	293.7
ACAN	0.0	2.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9	0.0
ACAP1	176.6	230.9	500.8	390.5	198.3	183.9	128.4	472.3	252.0	236.9	263.6
ACAP2	17.6	27.9	34.2	25.2	5.1	34.3	45.8	52.2	25.9	62.0	42.7
ACAP3	0.0	0.0	0.0	0.0	0.0	3.0	0.0	9.3	0.0	3.1	4.0
ACAT1	176.4	178.9	217.0	222.6	204.5	239.4	192.5	182.8	138.0	188.5	226.6
